HG00096,GBR,EUR
HG00097,GBR,EUR
HG00099,GBR,EUR
HG00100,GBR,EUR
HG00101,GBR,EUR
HG00102,GBR,EUR
HG00103,GBR,EUR
HG00105,GBR,EUR
HG00106,GBR,EUR
HG00107,GBR,EUR
HG00108,GBR,EUR
HG00109,GBR,EUR
HG00110,GBR,EUR
HG00111,GBR,EUR
HG00112,GBR,EUR
HG00113,GBR,EUR
HG00114,GBR,EUR
HG00115,GBR,EUR
HG00116,GBR,EUR
HG00117,GBR,EUR
HG00118,GBR,EUR
HG00119,GBR,EUR
HG00120,GBR,EUR
HG00121,GBR,EUR
HG00122,GBR,EUR
HG00123,GBR,EUR
HG00125,GBR,EUR
HG00126,GBR,EUR
HG00127,GBR,EUR
HG00128,GBR,EUR
HG00129,GBR,EUR
HG00130,GBR,EUR
HG00131,GBR,EUR
HG00132,GBR,EUR
HG00133,GBR,EUR
HG00136,GBR,EUR
HG00137,GBR,EUR
HG00138,GBR,EUR
HG00139,GBR,EUR
HG00140,GBR,EUR
HG00141,GBR,EUR
HG00142,GBR,EUR
HG00143,GBR,EUR
HG00145,GBR,EUR
HG00146,GBR,EUR
HG00148,GBR,EUR
HG00149,GBR,EUR
HG00150,GBR,EUR
HG00151,GBR,EUR
HG00154,GBR,EUR
HG00155,GBR,EUR
HG00157,GBR,EUR
HG00158,GBR,EUR
HG00159,GBR,EUR
HG00160,GBR,EUR
HG00171,FIN,EUR
HG00173,FIN,EUR
HG00174,FIN,EUR
HG00176,FIN,EUR
HG00177,FIN,EUR
HG00178,FIN,EUR
HG00179,FIN,EUR
HG00180,FIN,EUR
HG00181,FIN,EUR
HG00182,FIN,EUR
HG00183,FIN,EUR
HG00185,FIN,EUR
HG00186,FIN,EUR
HG00187,FIN,EUR
HG00188,FIN,EUR
HG00189,FIN,EUR
HG00190,FIN,EUR
HG00231,GBR,EUR
HG00232,GBR,EUR
HG00233,GBR,EUR
HG00234,GBR,EUR
HG00235,GBR,EUR
HG00236,GBR,EUR
HG00237,GBR,EUR
HG00238,GBR,EUR
HG00239,GBR,EUR
HG00240,GBR,EUR
HG00242,GBR,EUR
HG00243,GBR,EUR
HG00244,GBR,EUR
HG00245,GBR,EUR
HG00246,GBR,EUR
HG00250,GBR,EUR
HG00251,GBR,EUR
HG00252,GBR,EUR
HG00253,GBR,EUR
HG00254,GBR,EUR
HG00255,GBR,EUR
HG00256,GBR,EUR
HG00257,GBR,EUR
HG00258,GBR,EUR
HG00259,GBR,EUR
HG00260,GBR,EUR
HG00261,GBR,EUR
HG00262,GBR,EUR
HG00263,GBR,EUR
HG00264,GBR,EUR
HG00265,GBR,EUR
HG00266,FIN,EUR
HG00267,FIN,EUR
HG00268,FIN,EUR
HG00269,FIN,EUR
HG00271,FIN,EUR
HG00272,FIN,EUR
HG00273,FIN,EUR
HG00274,FIN,EUR
HG00275,FIN,EUR
HG00276,FIN,EUR
HG00277,FIN,EUR
HG00278,FIN,EUR
HG00280,FIN,EUR
HG00281,FIN,EUR
HG00282,FIN,EUR
HG00284,FIN,EUR
HG00285,FIN,EUR
HG00306,FIN,EUR
HG00308,FIN,EUR
HG00309,FIN,EUR
HG00310,FIN,EUR
HG00311,FIN,EUR
HG00313,FIN,EUR
HG00315,FIN,EUR
HG00318,FIN,EUR
HG00319,FIN,EUR
HG00320,FIN,EUR
HG00321,FIN,EUR
HG00323,FIN,EUR
HG00324,FIN,EUR
HG00325,FIN,EUR
HG00326,FIN,EUR
HG00327,FIN,EUR
HG00328,FIN,EUR
HG00329,FIN,EUR
HG00330,FIN,EUR
HG00331,FIN,EUR
HG00332,FIN,EUR
HG00334,FIN,EUR
HG00335,FIN,EUR
